"","UNIQID","Title","DatePublication","Rubrique","Auteur","TypeDocument","Disponibilite","VisuTot","Visu07","Visu08","Visu09","Visu10","Visu11","Visu12","Visu13","Visu14"
"234","T0234","Cognitive and cartographic representations : towards a comprehensive approach","15-01-2002","Rubriques Cartographie, Imagerie, SIG 2002","Colette Cauvin","Article","Texte intégral",4188,248,699,684,664,486,417,472,518
"235","T0235","La prise en compte des dynamiques spatiales pour modéliser la mise en valeur des espaces ruraux","09-04-1997","Rubriques Espace, Société, Territoire 1997","Denis Gautier","Article","Texte intégral",5245,246,727,745,656,530,558,844,939
"236","T0236","Looking for Sustainable Urban Mobility through Bayesian Networks","26-11-2004","Transversalités Dossiers 2005-2002 13th European Colloquium on Quantitative and Theoretical Geography. Lucca, Italy, September 8-11, 2003","Giovanni Fusco","Article","Texte intégral",4863,245,877,800,750,689,549,456,497
"237","T0237","Once forgotten reefs… historical images in the scramble for the south china sea","22-04-1999","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1999","Frédéric Lasserre","Article","Texte intégral",3099,244,503,523,427,393,334,296,379
"238","T0238","Cartographie animée de la diffusion spatiale. Application à la migration des patronymes de la moyenne vallée du Rhône depuis 1891","01-09-2004","Transversalités Dossiers 2005-2002 6èmes Rencontres de Théo Quant, Besançon, France 20-21 février 2003. Articles sélectionnés par Cybergeo","Sandrine AssalinLaurent Segura","Article","Texte intégral",3388,243,749,639,496,351,239,331,340
"239","T0239","Socio-spatial lifestyles and segregation","27-04-1999","Rubriques Espace, Société, Territoire 1999","Schnell IzhakBenjamini Yoav","Article","Texte intégral",5506,242,738,773,645,744,961,822,581
"240","T0240","Wacquant L., 2006, Parias urbains. Ghetto – Banlieues – Etat, Paris, La Découverte, 332 p.","26-09-2006","Vie Scientifique Revue de livres 2006","Marianne Blidon","Compte-rendu","Texte intégral",2475,242,823,513,253,177,124,186,157
"241","T0241","Position de recherche sur une méthode de détermination d'un contour urbain","14-06-1996","Rubriques Systèmes, Modélisation, Géostatistiques 1996","Eric Bailly","Article","Texte intégral",3000,242,753,634,418,223,256,322,152
"242","T0242","Ambulantage et services à la mobilité : les carrefours commerciaux à mexico","06-04-2007","Transversalités Dossiers 2007-2006 Ambulantage et métropolisation","Jérôme MonnetAngela GigliaGuénola Capron","Article","Texte intégral",2603,240,343,445,310,301,258,364,342
"243","T0243","Approche poissonnienne des modèles d’interaction spatiale","09-03-2000","Rubriques Systèmes, Modélisation, Géostatistiques 2000","G. D’AubignyChristian CalzadaClaude GraslandD. RobertG. VihoJean-Marc Vincent","Article","Texte intégral",2450,240,469,501,352,297,185,203,203
"244","T0244","Dynamic visualization in a developing framework for the representation of geographic data","17-11-2000","Transversalités Dossiers 1997 Colloque ""3O ans de sémiologie graphique""","Connie Blok","Article","Texte intégral",3119,236,553,504,372,382,347,324,401
"245","T0245","Quelques remarques sur la géographie urbaine au Japon depuis 1970","24-09-1999","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1999","Akio Onjo","Article","Texte intégral",2490,236,746,610,290,187,168,135,118
"246","T0246","Nouvelles temporalités, changements spatiaux et inégalités sociales. L’exemple des villes pétrolières du Casanare (Colombie)","25-05-2003","Rubriques Espace, Société, Territoire 2003","Jean-Marc Fournier","Article","Texte intégral",4084,235,1014,767,457,436,445,412,318
"247","T0247","Les nouvelles spatialités des comportements électoraux français. L’exemple des élections présidentielles 1981-1995","16-04-2002","Vie Scientifique Débats Elections présidentielles 2002 en France","Michel BussiSylviano Freire-Diaz","Article","Texte intégral",3242,234,753,688,425,325,372,224,221
"248","T0248","Modélisation du changement d’échelles en télédétection par une méthode neuronale: application a l’étude de l’évolution de l’occupation hivernale des sols en Bretagne","10-05-2004","Transversalités Dossiers 2005-2002 6èmes Rencontres de Théo Quant, Besançon, France 20-21 février 2003. Articles sélectionnés par Cybergeo","Thomas HouetLaurence Hubert-MoyGrégoire Mercier","Article","Texte intégral",4357,234,784,894,735,465,448,344,453
"249","T0249","Morphologie du réseau de communication et localisations optimales d'activités. Quelle mesure pour exprimer la forme d'un réseau ?","09-04-1997","Rubriques Systèmes, Modélisation, Géostatistiques 1997","Hubert BeguinIsabelle Thomas","Article","Texte intégral",4300,233,727,783,705,330,514,527,481
"250","T0250","Agricultural policies, land-use and waterbird conservation: the case study of a major Mediterranean wetland, the Camargue","24-02-2002","Rubriques Environnement, Nature, Paysage 2002","Raphaël MathevetChristophe TourenqFrançois Mesléard","Article","Texte intégral",3633,233,678,570,457,360,465,376,494
"251","T0251","Un envahisseur linguistique : l’Anglo-saxon","11-10-2007","Vie Scientifique Débats Un envahisseur linguistique : l’Anglo-saxon","François Durand-Dastès","Article","Texte intégral",1747,232,410,394,149,80,112,165,205
"252","T0252","Les habitations rurales dans l'optique de la décentralisation et de l'aménagement spatial","10-11-1999","Rubriques Espace, Société, Territoire 1999","Jean M. Prophete","Article","Texte intégral",3682,230,759,679,399,374,373,507,361
"253","T0253","Maximiser la représentativité de groupes dans un échantillonnage spatial","23-09-2002","Rubriques Systèmes, Modélisation, Géostatistiques 2002","Estelle KahMichel Pruvot","Article","Texte intégral",2850,226,676,618,326,276,295,257,176
"254","T0254","Liste chronologique des principaux périodiques français de géographie","21-03-1997","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1997","Bernadette Joseph","Article","Texte intégral",2597,225,575,510,234,319,224,283,227
"255","T0255","The Naval Intelligence Geographical Handbook Series (Great-Britain, 1941-46) : a description and a call for comments","26-06-2000","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2000","Cyril Gosme","Article","Texte intégral",4119,222,604,648,382,315,542,667,739
"256","T0256","Interpolation de données ponctuelles","05-06-1996","Rubriques Cartographie, Imagerie, SIG 1996","Patrice Langlois","Article","Texte intégral",2936,222,602,634,425,306,254,275,218
"257","T0257","Pour une géographie des milieux sonores","21-01-1999","Rubriques Environnement, Nature, Paysage 1999","Frédéric Roulier","Article","Texte intégral",5275,222,552,663,613,515,706,1035,969
"258","T0258","Paysage et pullulation animale : les facteurs paysagers de la vitesse de propagation des vagues de pullulations du campagnol terrestre","19-04-2005","Rubriques Environnement, Nature, Paysage 2005","Jean-Christophe FoltêteKarine BerthierJean-François Cosson","Article","Texte intégral",3019,221,595,577,495,289,267,325,250
"259","T0259","A systemic approach to transport accessibility. A methodology developed in Strasbourg: 1982-2002","10-05-2005","Rubriques Systèmes, Modélisation, Géostatistiques 2005","Colette Cauvin","Article","Texte intégral",4075,220,552,539,409,294,258,264,1539
"260","T0260","Entre construction territoriale  et constitution ontologique de l’habitant : Introduction épistémologique aux apports de la phénoménologie au concept d’habiter","29-05-2002","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2002","André-Frédéric Hoyaux","Article","Texte intégral",6272,217,528,752,734,931,939,1164,1007
"261","T0261","A field-based crop and land use map over Sanjiang plain in Heilongjiang derived from multi-temporal imagery of Landsat7-ETM+","19-09-2003","Rubriques Cartographie, Imagerie, SIG 2003","Herman EerensQinghan DongPierre OzerXiufen Li","Article","Texte intégral",3581,217,739,642,542,403,335,272,431
"262","T0262","The use of historical photography in environmental studies","19-01-2001","Rubriques Environnement, Nature, Paysage 2001","Peter CollierRob InkpenDominic Fontana","Article","Texte intégral",3045,216,506,488,533,365,306,271,360
"263","T0263","Quelques remarques à propos de la géographie culturelle","07-04-1998","Rubriques Politique, Culture, Représentations 1998","Béatrice Collignon","Article","Texte intégral",3133,216,658,725,383,240,255,336,320
"264","T0264","Modèle de généralisation de données urbaines à base de contraintes et d´autonomie","05-10-1999","Rubriques Cartographie, Imagerie, SIG 1999","Anne Ruas","Article","Texte intégral",3628,216,545,636,628,437,377,424,365
"265","T0265","Commune centre, agglomération, aire urbaine : quelle pertinence pour l’étude des villes ?","26-04-2002","Rubriques Politique, Culture, Représentations 2002","Marianne GuéroisFabien Paulus","Article","Texte intégral",6341,216,823,1295,876,736,787,719,889
"266","T0266","Understanding spatial structure from network data : theoretical considerations and applications.","26-06-1997","Rubriques Systèmes, Modélisation, Géostatistiques 1997","Giovanni A. RabinoSylvie Occelli","Article","Texte intégral",3401,216,582,552,522,418,274,468,369
"267","T0267","Bassins – versants et décentralisation administrative : esquisse de comparaison France/Espagne","15-10-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Sylvie Clarimont","Article","Texte intégral",2743,213,714,614,340,264,210,205,183
"268","T0268","Validation  of the CORINE land cover database in a pilot zone under semi-arid  conditions in La Mancha (Spain)","07-02-2003","Rubriques Cartographie, Imagerie, SIG 2003","Martín de Santa Olalla MañasCabañero SoriaArtigao Ramírez","Article","Texte intégral",2791,211,757,514,418,298,242,174,177
"269","T0269","Le nouveau visage de Moscou et la contribution de la municipalité à la modernisation de la ville","10-03-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Olga VendinaDenis Eckert","Article","Texte intégral",2937,210,623,582,348,338,288,288,260
"270","T0270","Vers une décentralisation de la gestion de l’eau froide en habitat collectif : la question de la généralisation du comptage individuel à Paris","15-10-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Agathe Euzen","Article","Texte intégral",3295,209,469,387,336,363,460,474,597
"271","T0271","CERTU, 2000, La Forme des villes. Caractériser l´étalement urbain et réfléchir à de nouvelles modalités d´actions, Lyon, 178 p.","28-02-2003","Vie Scientifique Revue de livres 2003","Marianne Guérois","Compte-rendu","Texte intégral",2237,209,561,491,307,196,162,169,142
"272","T0272","Medical geography: has J.M. May borrowed M. Sorre's 1933 concept of pathogenic complexes?","12-03-2003","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2003","Rais Akhtar","Article","Texte intégral",5528,206,960,699,828,524,511,782,1018
"273","T0273","Entre l’eau «  ressource », l’eau «  réseau » et l’eau « environnement » : la démultiplication des territoires urbains","16-12-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Graciela Schneier-Madanes","Article","Texte intégral",3345,205,596,716,380,373,318,538,219
"274","T0274","Modernism, Cosmopolitanism and Catastrophism in Los Angeles and Mexico City","28-06-2000","Rubriques Politique, Culture, Représentations 2000","Jérôme Monnet","Article","Texte intégral",3448,204,596,577,531,407,331,434,368
"275","T0275","Rites et fêtes dans les villes japonaises","10-03-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Sylvie Guichard-Anguis","Article","Texte intégral",2767,204,551,524,378,273,355,328,154
"276","T0276","Forecasting global climatic change impacts on Mediterranean agricultural land use in the 21st Century","09-02-2000","Rubriques Systèmes, Modélisation, Géostatistiques 2000","Stan OpenshawAndy Turner","Article","Texte intégral",3118,201,834,697,338,321,189,205,333
"277","T0277","Gestion de l’historicité et méthodes de mise à jour dans les SIG","23-06-2004","Rubriques Cartographie, Imagerie, SIG 2004","Damien Paque","Article","Texte intégral",4613,200,537,557,455,790,1031,528,515
"278","T0278","Contribution à l'étude du climat urbain de l'agglomération nantaise","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Marc Robin","Article","Texte intégral",3139,199,626,660,562,300,232,257,303
"279","T0279","Urban Ontologies for an improved communication in urban civil engineering projects","11-07-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Jacques TellerAbdel Kader KeitaCatherine RousseyRobert Laurini","Article","Texte intégral",5877,198,856,938,991,881,897,626,490
"280","T0280","Les nouveaux comportements spatiaux des entreprises françaises : un tournant favorable en 2001","15-05-2002","Vie Scientifique Débats Des évolutions dans les comportements spatiaux des entreprises","Jean Bouinot","Article","Texte intégral",1231,197,366,239,132,71,84,79,63
"281","T0281","Pitié pour les grandes villes !","18-02-1997","Vie Scientifique Débats Les grandes villes","Jérôme Monnet","Article","Texte intégral",2266,196,441,357,305,248,199,279,241
"282","T0282","Lieu de résidence réel et lieu de résidence idéal : une approche fondée sur la théorie de la décision","11-07-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Anne-Marie Meyer","Article","Texte intégral",2400,196,509,519,209,206,221,274,266
"283","T0283","La qualité des données de géomarketing","12-07-1999","Rubriques Espace, Société, Territoire 1999","Frédéric GiraultJean-Marc Orhan","Article","Texte intégral",2976,196,500,531,555,310,296,356,232
"284","T0284","Urban Densities and socio-residential organisationExample of the urban area of Hamburg (Germany)","02-08-2003","Transversalités Dossiers 2001 12th European Colloquium on Quantitative and Theoretical Geography.St-Valery-en-Caux, France, September 7-11, 2001. St-Valery-en-Caux, France, September 7-11, 2001","Anne-Marie Meyer","Article","Texte intégral",4420,195,872,874,631,486,345,477,540
"285","T0285","Models in geography ? A sense to research","18-12-2001","Transversalités Dossiers 2001 12th European Colloquium on Quantitative and Theoretical Geography.St-Valery-en-Caux, France, September 7-11, 2001. St-Valery-en-Caux, France, September 7-11, 2001","Roger Brunet","Article","Texte intégral",19403,195,921,1083,1033,1855,2675,7888,3753
"286","T0286","Les facteurs de choix des localisations : les infrastructures de transport","09-03-2007","Vie Scientifique Débats Chronique d'économie géographique","Jean Bouinot","Article","Texte intégral",3489,195,523,626,351,274,574,508,438
"287","T0287","Des villes et de la question multiculturelle : comment définir un espace multiculturel ?","04-02-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Cynthia Ghorra-Gobin","Article","Texte intégral",3309,194,593,626,422,305,331,379,459
"288","T0288","Borges, Carrol et la carte au 1/1","30-09-1999","Rubriques Cartographie, Imagerie, SIG 1999","Gilles Palsky","Article","Texte intégral",8756,194,394,630,465,798,1657,2581,2037
"289","T0289","Transition of Urban Space in Two Systems : the Fractal Geometry of Hungarian Provincial Cities","18-11-2000","Transversalités Dossiers 1999 11th European Colloquium on Quantitative and Theoretical Geography. Durham Castle, UK, September 3-7, 1999","E. Nagy","Article","Texte intégral",2678,193,527,420,398,343,200,259,338
"290","T0290","Ville et santé publique au Japon","12-04-1996","Transversalités Dossiers 1996 Les Bonnes Feuilles du PIRVILLES","Takano Takehito","Article","Texte intégral",3157,193,546,473,326,271,393,474,481
"291","T0291","Les grandes métropoles comme carrefours des diasporas","25-05-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Georges Prevelakis","Article","Texte intégral",2350,192,580,553,267,184,239,219,116
"292","T0292","Béatrice COLLIGNON,Les Inuit : ce qu´ils savent du territoire, Paris, L´Harmattan, 1996, 254 pages","07-04-1998","Rubriques Politique, Culture, Représentations 1998","Bernard Debarbieux","Compte-rendu","Texte intégral",2670,192,654,411,207,203,230,395,378
"293","T0293","Configurations atmosphériques de vastes échelles spatiales et variabilité des surcotes dans le Golfe du Lion","05-11-2007","Rubriques Environnement, Nature, Paysage 2008","Albin UllmannVincent Moron","Article","Texte intégral",2980,190,982,641,397,280,186,173,131
"294","T0294","Les constructions des mondes de l’habitant : Eclairage pragmatique et herméneutique","15-01-2003","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2003","André-Frédéric Hoyaux","Article","Texte intégral",4948,189,552,626,552,703,625,827,874
"295","T0295","Barthe-Deloizy F., 2003, Géographie de la nudité. Etre nu quelque part. Editions Bréal, collection "" D’autre part "", 239 p.","24-03-2004","Vie Scientifique Revue de livres 2004","Antoine Fleury","Compte-rendu","Texte intégral",2153,189,730,492,199,102,77,169,195
"296","T0296","Pour une amélioration de l'utilisation commerciale de la carte sur le web : proposition pour le site de l'office français des forêts","21-12-2000","Rubriques Cartographie, Imagerie, SIG 2000","Vincent Godard","Article","Texte intégral",1611,187,436,348,212,125,92,86,125
"297","T0297","Les nouvelles formes d’intercommunalité en France, un atout pour la durabilité des services d’eau potable ?","16-12-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Christelle PezonSylvain Petitet","Article","Texte intégral",2084,187,528,428,295,199,134,140,173
"298","T0298","Demographic growth and spatial organisation : a representation in model form of active processes in Bolívar province, Ecuador","02-02-1999","Rubriques Systèmes, Modélisation, Géostatistiques 1999","Michel PouyllauYves PoinsotFabien Pouille","Article","Texte intégral",2950,186,546,586,346,287,262,344,393
"299","T0299","Spatially aggregated data and variables in empirical analysis and model building for economics","09-09-2004","Transversalités Dossiers 2005-2002 13th European Colloquium on Quantitative and Theoretical Geography. Lucca, Italy, September 8-11, 2003","Tamás Dusek","Article","Texte intégral",4805,185,630,644,563,728,640,702,713
"300","T0300","Emerging Societal Involvement in City Management : the case of Cape Town","15-02-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Neil Dewar","Article","Texte intégral",4908,185,751,757,910,816,826,397,266
"301","T0301","L'autocorrélation spatiale comme outil géostatistique d'identification des concentrations spatiales des accidents de la route","07-02-2001","Rubriques Systèmes, Modélisation, Géostatistiques 2001","Benoît Flahaut","Article","Texte intégral",5519,182,733,1102,867,477,544,728,886
"302","T0302","Classification neuronale des textures de milieux terrestres naturels en télédétection radar","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Robert JeansoulinPh. Mainguenaud","Article","Texte intégral",3242,182,611,928,497,287,247,248,242
"303","T0303","Les principaux enseignements du 1er tour de l’élection présidentielle de 2007 en cartes","30-04-2007","Vie Scientifique Débats Elections présidentielles en France","Stéphane Leroy","Article","Texte intégral",1525,182,377,260,149,142,202,123,90
"304","T0304","La dynamique économique régionale en Tunisie. Analyse structurelle-résiduelle","09-05-2005","Rubriques Systèmes, Modélisation, Géostatistiques 2005","Amor Belhedi","Article","Texte intégral",6723,181,3609,689,502,608,451,454,229
"305","T0305","Ambulantage et métropolisation","21-04-2007","Transversalités Dossiers 2007-2006 Ambulantage et métropolisation","Jérôme Monnet","Article","Texte intégral",1999,181,321,381,259,258,206,209,184
"306","T0306","Des évolutions dans les comportements spatiaux des entreprises en 2003 ?","01-04-2004","Vie Scientifique Débats Des évolutions dans les comportements spatiaux des entreprises","Jean Bouinot","Article","Texte intégral",1868,180,383,264,150,224,247,205,215
"307","T0307","L'analyse log-linéaire de tableaux de contingence et le modèle logit I : principe, usage, intérêt et limites","10-01-2003","Rubriques Systèmes, Modélisation, Géostatistiques 2003","Estelle KahMichel Pruvot","Article","Texte intégral",7647,179,1109,1446,1450,1675,685,530,573
"308","T0308","Bibliographie sur les transformations cartographiques","14-06-1996","Rubriques Cartographie, Imagerie, SIG 1996","Colette Cauvin","Article","Résumé",1642,178,441,305,304,199,84,80,51
"309","T0309","Quand l’INSEE projette d’enterrer le recensement de population... et la Géographie avec !","20-06-1999","Vie Scientifique Débats Recensement de la population en continu : choisir le temps et l'espace ?","Michel Bussi","Article","Texte intégral",1862,178,540,394,200,111,111,138,190
"310","T0310","L’eau en France : entre subsidiarité et gestion spatiale","15-10-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Sarah Feuillette","Article","Texte intégral",2636,176,534,595,306,448,188,227,162
"311","T0311","Between the Sinusoidal projection and the Werner: an alternative to the Bonne","13-06-2003","Rubriques Cartographie, Imagerie, SIG 2003","Henry Bottomley","Article","Texte intégral",5639,176,816,1114,883,623,673,697,657
"312","T0312","La difficile émergence d’un territoire lagunaire protégé au Portugal : la Ria Formosa","16-12-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Frédéric Bertrand","Article","Texte intégral",1597,175,466,377,232,130,69,72,76
"313","T0313","Le modèle français de gestion de l’eau est-il toujours synonyme d’innovation ? L’exemple de la réforme de la politique de l’eau au Liban","15-11-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Stéphane Ghiotti","Article","Texte intégral",2398,173,541,539,369,296,187,175,118
"314","T0314","Comparaison entre les caractéristiques de surface de la neige dans les Alpes, les données du satellite Landsat TM et un modèle de métamorphisme du manteau neigeux","26-04-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Jean-Pierre DedieuM. FilyYves DurandC. Sergent","Article","Texte intégral",2637,171,490,508,413,273,330,245,207
"315","T0315","Bertin, lexis and the graphical representation of event histories","17-11-2000","Transversalités Dossiers 1997 Colloque ""3O ans de sémiologie graphique""","Brian FrancisJohn Pritchard","Article","Texte intégral",3082,169,550,425,618,365,245,323,387
"316","T0316","Dorin B., Landy F., 2002, Agriculture et Alimentation de l’Inde, les vertes années (1947-2001), Paris, Institut National de la Recherche Agronomique, collection "" Espaces ruraux "".","19-01-2004","Vie Scientifique Revue de livres 2004","Clarisse Didelon","Compte-rendu","Texte intégral",1101,169,416,230,83,64,42,42,55
"317","T0317","Lagnier S., 2001, Sculpture et espace urbain en France. Histoire de l’instauration d’un dialogue 1951-1992, Paris, L’Harmattan, coll. ""Logiques sociales"", 291 p. ISBN 2-7475-1172-3","11-11-2003","Vie Scientifique Revue de livres 2003","Eric Boutouyrie","Compte-rendu","Texte intégral",1879,169,498,420,150,112,152,198,180
"318","T0318","The cultural strategy of Rotterdam","12-05-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Jan Buursink","Article","Texte intégral",4133,169,476,545,553,412,550,754,674
"319","T0319","L'île mystérieuse - JULES VERNE - 1874 HYDROGRAPHIE ET OROGRAPHIE. L'ÎLE EST-ELLE HABITÉE ?BAPTÊME DES BAIES, CAPS, GOLFES, RIVIÈRES...","25-04-1996","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1996","Jean-Louis TISSIER","Article","Texte intégral",3268,169,665,764,548,365,253,284,220
"320","T0320","Pumain Denise, Paquot Thierry, Kleinschmager Richard, 2006, Dictionnaire La ville et l’urbain, Paris : Economica-Anthropos (collection Villes, dir. D.Pumain), 320 p.","23-01-2007","Vie Scientifique Revue de livres 2007","Jérôme Monnet","Compte-rendu","Texte intégral",1195,169,270,183,108,91,91,129,154
"321","T0321","Des densités aux rugosités. Les modalités instrumentales d’une transposition","12-04-1996","Transversalités Dossiers 1996 Les Bonnes Feuilles du PIRVILLES","Jean-Pierre Peneau","Article","Texte intégral",2848,168,568,582,442,294,280,297,217
"322","T0322","Fondements et approche d’un modèle cognitif du déplacement","01-10-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Pierre-Emmanuel MichonDavid DuguayGeoffrey Edwards","Article","Texte intégral",3655,168,744,743,571,395,293,378,363
"323","T0323","Participation et construction de barrage à Alqueva (Portugal). Quelles méthodes, quels moyens ?","16-12-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Fabienne Wateau","Article","Texte intégral",2167,167,557,545,325,202,153,132,86
"324","T0324","Berthelot J.-M. (dir), 2001, Epistémologie des sciences sociales, Paris, PUF, 593 p.","14-03-2002","Vie Scientifique Revue de livres 2002","Christine Kosmopoulos","Compte-rendu","Texte intégral",2187,166,550,450,224,156,156,187,298
"325","T0325","Espace et pauvreté","02-08-1996","Rubriques Espace, Société, Territoire 1996","Maryse Marpsat","Article","Texte intégral",2000,166,421,438,240,249,206,137,143
"326","T0326","Le coût d'opportunité des fonds publics","09-03-2007","Vie Scientifique Débats Chronique d'économie géographique","Jean Bouinot","Article","Texte intégral",4246,165,610,590,484,465,755,704,473
"327","T0327","Analyse géographique et modélisation des dynamiques d’urbanisation à La Réunion","16-07-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Pascal ThinonCécile MartignacPascale MetzgerJean-Paul Cheylan","Article","Texte intégral",3976,165,736,761,448,428,360,292,786
"328","T0328","Structures et dynamiques forestières en milieu tempéré","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Hélène GeroyannisJean-Paul GilgB. Julien-LaferrièreMicheline HotyatVincent GodardLaurent Simon","Article","Texte intégral",2262,163,493,505,338,211,239,164,149
"329","T0329","L'évolution des comportements spatiaux des entreprises : confirmation en 2002 du tournant favorable esquissé en 2001 ?","17-03-2003","Vie Scientifique Débats Des évolutions dans les comportements spatiaux des entreprises","Jean Bouinot","Article","Texte intégral",1779,162,457,257,149,165,265,179,145
"330","T0330","Bonnemaison J. , 2000, La géographie culturelle (établi par Maud Lasseur et Christel Thibault). Paris, éditions du CTHS (coll. Format 38), 152 p.","27-06-2002","Vie Scientifique Revue de livres 2002","Jérôme Monnet","Compte-rendu","Texte intégral",3487,160,581,743,478,362,365,436,362
"331","T0331","Les comportements spatiaux des entreprises en 2004. Les délocalisations entre mythes et réalités","29-03-2005","Vie Scientifique Débats Des évolutions dans les comportements spatiaux des entreprises","Jean Bouinot","Article","Texte intégral",1460,160,433,240,191,85,173,114,64
"332","T0332","Au sujet des transformations cartographiques de position","14-01-1997","Rubriques Cartographie, Imagerie, SIG 1997","Colette Cauvin","Article","Texte intégral",2685,159,445,441,398,272,314,355,301
"333","T0333","Business networks and new distribution methods: the spread of franchises in Spain","17-05-1999","Rubriques Systèmes, Modélisation, Géostatistiques 1999","Agustín GámirRicardo Méndez","Article","Texte intégral",4069,159,729,511,522,353,424,601,770
"334","T0334","Una familia de modelos de localizacion optima para actividades indeseables : propuesta y aplicacion con sistemas de informcion geografica","10-12-1998","Rubriques Systèmes, Modélisation, Géostatistiques 1998","Antonio Moreno-Jimenez","Article","Texte intégral",2600,159,292,573,485,273,248,303,267
"335","T0335","Spazio urbano e movimento pedonale Uno studio sull'ipotesi configurazionale","26-10-1999","Rubriques Systèmes, Modélisation, Géostatistiques 1999","Valerio Cutini","Article","Texte intégral",1970,159,429,349,335,196,178,162,162
"336","T0336","la périphérie urbaine et les extensions de la ville de Beyrouth (Liban) : étude par traitement d'une image SPOT","25-04-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Michael F DavieJean-Louis Drouot","Article","Texte intégral",3191,158,531,700,547,345,319,306,285
"337","T0337","Cartographie d’aujourd’hui et de demain : rappels et perspectives.","27-03-2001","Rubriques Cartographie, Imagerie, SIG 2001","Isabelle Thomas","Article","Texte intégral",4009,158,697,829,544,586,372,409,414
"338","T0338","Les pays de France (diaporama)","17-09-2003","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2003","Didier Mendibil","Article","Résumé",2405,157,480,492,349,403,247,182,95
"339","T0339","Borders, frontiers and limits : some computational concepts beyond words","01-03-2000","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2000","Sébastien GadalRobert Jeansoulin","Article","Texte intégral",3551,156,602,545,521,371,343,433,580
"340","T0340","Les indices de ségrégation résidentielle : un outil intégré dans un système d’information géographique","16-06-2000","Rubriques Espace, Société, Territoire 2000","Philippe Apparicio","Article","Texte intégral",13453,156,1463,1751,1620,1677,2295,2470,2021
"341","T0341","Intégration de fonctions topologiques du paysage dans le calcul des distances-coût","18-07-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Jean-Christophe FoltêteKarine BerthierJean-François Cosson","Article","Texte intégral",1381,156,260,227,184,181,165,121,87
